Source,Target,Type,Id,Label,Weight
CHEK2,U2AF1L4,Undirected,91784,,1
CHEK2,STAT5B,Undirected,91786,,1
CHEK2,PSME3,Undirected,91787,,1
CHEK2,ASB16,Undirected,91788,,1
CHEK2,SHANK1,Undirected,91789,,1
CHEK2,WNT1,Undirected,91790,,1
CHEK2,ADCY9,Undirected,91792,,1
CHEK2,REL,Undirected,91794,,1
CHEK2,ARL5A,Undirected,91796,,1
CHEK2,MITF,Undirected,91800,,1
CHEK2,IGFBP7,Undirected,91801,,1
CHEK2,EFHB,Undirected,91804,,1
CHEK2,CDS1,Undirected,91805,,1
CHEK2,HESX1,Undirected,91807,,1
CHEK2,SNIP1,Undirected,91808,,1
CHEK2,MAD2L1,Undirected,91812,,1
CHEK2,ASB5,Undirected,91814,,1
CHEK2,MAP1B,Undirected,91816,,1
CHEK2,RICTOR,Undirected,91817,,1
CHEK2,ANKRA2,Undirected,91818,,1
CHEK2,SHH,Undirected,91822,,1
CHEK2,RAD21,Undirected,91824,,1
CHEK2,ANKS6,Undirected,91828,,1
CHEK2,NOL6,Undirected,91829,,1
CHEK2,MELK,Undirected,91830,,1
CHEK2,WRN,Undirected,91831,,1
CHEK2,CFL2,Undirected,91832,,1
CHEK2,KLHDC2,Undirected,91833,,1
CHEK2,DUSP16,Undirected,91836,,1
CHEK2,LRRK2,Undirected,91839,,1
CHEK2,PIWIL4,Undirected,91840,,1
CHEK2,PPP1R16B,Undirected,91844,,1
CHEK2,TERF2IP,Undirected,91846,,1
CHEK2,MAPRE2,Undirected,91850,,1
CHEK2,TBC1D2B,Undirected,91852,,1
CHEK2,KMT2D,Undirected,91855,,1
CHEK2,KIFC2,Undirected,91860,,1
CHEK2,UNKL,Undirected,91864,,1
CHEK2,MDM1,Undirected,91873,,1
CHEK2,AXIN2,Undirected,91875,,1
CHEK2,DDI1,Undirected,91878,,1
CHEK2,AURKC,Undirected,91880,,1
CHEK2,BCR,Undirected,91888,,1
CHEK2,CDC25A,Undirected,91890,,1
CHEK2,UBE2E1,Undirected,91891,,1
CHEK2,ANKRD27,Undirected,91894,,1
CHEK2,ANKS3,Undirected,91896,,1
CHEK2,RFXANK,Undirected,91898,,1
CHEK2,CNNM3,Undirected,91901,,1
CHEK2,PCBP1,Undirected,91903,,1
CHEK2,CSNK1G1,Undirected,91904,,1
CHEK2,USH2A,Undirected,91906,,1
CHEK2,ARF4,Undirected,91908,,1
CHEK2,ANKRD2,Undirected,91909,,1
CHEK2,YWHAG,Undirected,91911,,1
CHEK2,RFX2,Undirected,91912,,1
CHEK2,ZNF3,Undirected,91913,,1
CHEK2,DESI2,Undirected,91915,,1
CHEK2,PPM1D,Undirected,91917,,1
CHEK2,GABARAP,Undirected,91920,,1
CHEK2,KIF5B,Undirected,91924,,1
CHEK2,ING2,Undirected,91926,,1
CHEK2,BPTF,Undirected,91927,,1
CHEK2,RPTOR,Undirected,91929,,1
CHEK2,FEM1B,Undirected,91931,,1
CHEK2,WDR48,Undirected,91932,,1
CHEK2,TADA3,Undirected,91933,,1
CHEK2,CLOCK,Undirected,91940,,1
CHEK2,ANKS4B,Undirected,91941,,1
CHEK2,MARCH3,Undirected,91943,,1
CHEK2,PDP2,Undirected,91944,,1
CHEK2,PRKACA,Undirected,91946,,1
CHEK2,ADCK5,Undirected,91954,,1
CHEK2,BRSK1,Undirected,91958,,1
CHEK2,PDE7B,Undirected,91959,,1
CHEK2,MOS,Undirected,91962,,1
CHEK2,FANCI,Undirected,91963,,1
CHEK2,MAPK7,Undirected,91964,,1
CHEK2,CKS1B,Undirected,91966,,1
CHEK2,ZMAT3,Undirected,91967,,1
