Source,Target,Type,Id,Label,Weight
CHEK2,PRKX,Undirected,91533,,1
CHEK2,XRCC1,Undirected,91534,,1
CHEK2,HACE1,Undirected,91535,,1
CHEK2,E2F3,Undirected,91536,,1
CHEK2,MAP2K2,Undirected,91537,,1
CHEK2,PIAS4,Undirected,91538,,1
CHEK2,MAPK3,Undirected,91539,,1
CHEK2,MAP3K8,Undirected,91540,,1
CHEK2,MTPAP,Undirected,91541,,1
CHEK2,SCARF1,Undirected,91542,,1
CHEK2,SMG6,Undirected,91543,,1
CHEK2,CCDC6,Undirected,91544,,1
CHEK2,SMARCB1,Undirected,91545,,1
CHEK2,KIF18A,Undirected,91546,,1
CHEK2,MSH4,Undirected,91547,,1
CHEK2,HIRA,Undirected,91548,,1
CHEK2,PPM1F,Undirected,91549,,1
CHEK2,EP300,Undirected,91550,,1
CHEK2,DESI1,Undirected,91551,,1
CHEK2,PLEKHA4,Undirected,91552,,1
CHEK2,LIG1,Undirected,91553,,1
CHEK2,PAX8,Undirected,91554,,1
CHEK2,IL1A,Undirected,91555,,1
CHEK2,IL1B,Undirected,91556,,1
CHEK2,BRD4,Undirected,91557,,1
CHEK2,ASF1B,Undirected,91558,,1
CHEK2,NOTCH3,Undirected,91559,,1
CHEK2,PPP1R12C,Undirected,91560,,1
CHEK2,BIRC3,Undirected,91561,,1
CHEK2,ENSG00000115239,Undirected,91562,,1
CHEK2,TANC1,Undirected,91563,,1
CHEK2,POLD3,Undirected,91564,,1
CHEK2,EPCAM,Undirected,91565,,1
CHEK2,SRBD1,Undirected,91566,,1
CHEK2,KAT2B,Undirected,91567,,1
CHEK2,WDR76,Undirected,91568,,1
CHEK2,AKT3,Undirected,91569,,1
CHEK2,KDR,Undirected,91570,,1
CHEK2,KIF1B,Undirected,91571,,1
CHEK2,STK17B,Undirected,91572,,1
CHEK2,PIK3CA,Undirected,91573,,1
CHEK2,LCAT,Undirected,91574,,1
CHEK2,CTCF,Undirected,91575,,1
CHEK2,NGEF,Undirected,91576,,1
CHEK2,TUBB4A,Undirected,91577,,1
CHEK2,ATF2,Undirected,91578,,1
